   PPID     PID    PGID     SID TTY        TPGID STAT   UID   TIME COMMAND
   1602    1660    1660    1660 ?             -1 SNsl  1000   0:00 /usr/libexec/tracker-miner-fs-3
   1602    1673    1673    1673 ?             -1 Ssl   1000   0:00 /usr/libexec/gvfs-udisks2-volume-monitor
      2    1678       0       0 ?             -1 S<       0   0:00 [krfcommd]
   1602    1680    1680    1680 ?             -1 Ssl   1000   0:00 /usr/libexec/gvfs-mtp-volume-monitor
   1602    1684    1684    1684 ?             -1 Ssl   1000   0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
   1602    1688    1688    1688 ?             -1 Ssl   1000   0:00 /usr/libexec/gvfs-goa-volume-monitor
   1602    1692    1621    1621 ?             -1 Sl    1000   0:00 /usr/libexec/goa-daemon
   1602    1699    1621    1621 ?             -1 Sl    1000   0:00 /usr/libexec/goa-identity-service
   1602    1701    1701    1701 ?             -1 Ssl   1000   0:00 /usr/libexec/gvfs-afc-volume-monitor
   1589    1727    1727    1727 tty2        1727 Ssl+  1000   0:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
   1727    1730    1727    1727 tty2        1727 Sl+   1000   0:00 /usr/libexec/gnome-session-binary --session=ubuntu
   1602    1760    1760    1760 ?             -1 Ssl   1000   0:00 /usr/libexec/gnome-session-ctl --monitor
   1602    1772    1772    1772 ?             -1 Ssl   1000   0:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
   1772    1787    1772    1772 ?             -1 Sl    1000   0:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
   1602    1790    1790    1790 ?             -1 Ssl   1000  11:42 /usr/bin/gnome-shell
   1787    1796    1772    1772 ?             -1 S     1000   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
   1602    1872    1621    1621 ?             -1 Sl    1000   0:00 /usr/libexec/gnome-shell-calendar-server
   1602    1878    1878    1878 ?             -1 Ssl   1000   0:00 /usr/libexec/evolution-source-registry
   1602    1883    1883    1883 ?             -1 Ssl   1000   0:00 /usr/libexec/dconf-service
   1602    1888    1888    1888 ?             -1 Ssl   1000   0:00 /usr/libexec/evolution-calendar-factory
   1602    1899    1899    1899 ?             -1 Ssl   1000   0:00 /usr/libexec/evolution-addressbook-factory
   1627    1909    1627    1627 ?             -1 Sl    1000   0:00 /usr/libexec/gvfsd-trash --spawner :1.2 /org/gtk/gvfs/exec_spaw/0
   1602    1921    1621    1621 ?             -1 Sl    1000   0:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
   1602    1923    1772    1772 ?             -1 Sl    1000   0:00 /usr/libexec/at-spi2-registryd --use-gnome-session
